sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
74430,PMS7003,62863,52.062,23.764,,2025-12-19,3.0,3.0
75055,PMS7003,63637,48.915485,2.2373183,,2025-12-19,1.0,2.0
76043,PMS7003,64740,34.694,33.088,,2025-12-19,1.0,2.0
76049,PMS7003,64967,50.234,19.224,,2025-12-19,7.0,8.0
76101,PMS7003,64830,46.91,6.354,,2025-12-19,1.0,1.0
76238,PMS7003,65043,48.392,-4.472,,2025-12-19,1.0,1.0
76673,PMS7003,65591,50.26746687,18.90332401,,2025-12-19,8.0,10.0
76743,PMS7003,65670,45.61391229,5.01718407,,2025-12-19,1.0,1.0
76784,PMS7003,66893,44.316,0.092,,2025-12-19,1.0,2.0
77320,PMS7003,66382,52.252,8.78,,2025-12-19,1.0,1.0
77411,PMS7003,66484,49.968,19.14,,2025-12-19,4.0,4.0
77413,PMS7003,66486,49.992,19.164,,2025-12-19,10.0,10.0
77516,PMS7003,68414,53.946,27.634,,2025-12-19,2.0,2.0
77538,PMS7003,67783,51.656,16.106,,2025-12-19,1.0,1.0
77584,PMS7003,66741,46.09414627,19.67140943,,2025-12-19,10.0,10.0
78316,PMS7003,67572,50.93,18.276,,2025-12-19,1.0,1.0
78999,PMS7003,68406,53.914,27.416,,2025-12-19,5.0,7.0
79320,PMS7003,68788,48.831919,2.3451065,,2025-12-19,1.0,1.0
79322,PMS7003,68789,47.753597,-3.3646154,,2025-12-19,1.0,1.0
80289,PMS7003,69592,44.804,-0.55,,2025-12-19,2.0,2.0
80291,PMS7003,70298,48.92665822,2.26486008,,2025-12-19,2.0,2.0
80685,PMS7003,70047,48.7214576,2.2653036,,2025-12-19,1.0,1.0
80687,PMS7003,71976,44.71662094,5.104336,,2025-12-19,1.0,1.0
81733,PMS7003,71140,48.831977,2.3164539,,2025-12-19,1.0,1.0
81739,PMS7003,71156,49.328013,6.578853,,2025-12-19,1.0,1.0
82193,PMS7003,71906,51.3302968,12.315567,,2025-12-19,1.0,1.0
82250,PMS7003,71853,48.9189538,2.2622857,,2025-12-19,1.0,1.0
82407,PMS7003,72047,49.3477939,2.9827804,,2025-12-19,1.0,1.0
82557,PMS7003,72220,51.909895,15.500935,,2025-12-19,1.0,1.0
83276,PMS7003,73878,47.94836254,-4.12314233,,2025-12-19,1.0,1.0
83797,PMS7003,73802,52.37326945,16.90001999,,2025-12-19,2.0,2.0
83848,PMS7003,73879,48.8888889,2.3228999,,2025-12-19,1.0,1.0
84282,PMS7003,74440,52.6,21.45,,2025-12-19,2.0,2.0
84771,PMS7003,75001,51.082,17.008,,2025-12-19,1.0,1.0
85004,PMS7003,75324,43.89445134,20.35736606,,2025-12-19,10.0,10.0
85148,PMS7003,75507,52.464,17.18,,2025-12-19,3.0,3.0
85169,PMS7003,75542,53.73048936,24.14371476,,2025-12-19,1.0,2.0
86022,PMS7003,76597,42.99087025,21.93276107,,2025-12-19,10.0,10.0
